16,35,36,61,64,keyword,alls,binary,value
2,0,0,0,0,콜사,2,1.0,2.0
0,2,0,0,0,장휘국,2,1.0,2.0
2,0,0,0,0,금기,2,1.0,2.0
2,0,0,0,0,비소,2,1.0,2.0
0,2,0,0,0,계고,2,1.0,2.0
2,0,0,0,0,운송업,2,1.0,2.0
2,0,0,0,0,원상회복,2,1.0,2.0
0,2,0,0,0,면담,2,1.0,2.0
0,0,0,0,2,요금인상,2,1.0,2.0
0,0,2,0,0,다이소,2,1.0,2.0
2,0,0,0,0,할증,2,1.0,2.0
2,0,0,0,0,컬,2,1.0,2.0
2,0,0,0,0,구실,2,1.0,2.0
0,2,0,0,0,패악,2,1.0,2.0
2,0,0,0,0,곰,2,1.0,2.0
2,0,0,0,0,케,2,1.0,2.0
2,0,0,0,0,발송,2,1.0,2.0
2,0,0,0,0,경장,2,1.0,2.0
0,0,2,0,0,뇌전증,2,1.0,2.0
0,0,2,0,0,목동,2,1.0,2.0
0,2,0,0,0,보탬,2,1.0,2.0
0,2,0,0,0,운반,2,1.0,2.0
2,0,0,0,0,경사,2,1.0,2.0
0,0,2,0,0,비열,2,1.0,2.0
2,0,0,0,0,여로,2,1.0,2.0
0,0,0,0,2,관련성,2,1.0,2.0
0,0,0,0,2,저녁식사,2,1.0,2.0
0,0,0,2,0,누리,2,1.0,2.0
2,0,0,0,0,용달,2,1.0,2.0
0,0,2,0,0,기각,2,1.0,2.0
0,2,0,0,0,구조조정,2,1.0,2.0
0,0,0,0,2,투성이,2,1.0,2.0
0,0,0,2,0,특권,2,1.0,2.0
0,0,0,2,0,국회의장,2,1.0,2.0
2,0,0,0,0,재주,2,1.0,2.0
0,0,0,2,0,본부장,2,1.0,2.0
0,0,0,0,2,산둥성,2,1.0,2.0
0,0,1,0,0,향유,1,1.0,1.0
0,1,0,0,0,학부,1,1.0,1.0
0,1,0,0,0,통곡,1,1.0,1.0
0,1,0,0,0,가난,1,1.0,1.0
0,1,0,0,0,실리,1,1.0,1.0
0,1,0,0,0,오늘날,1,1.0,1.0
0,1,0,0,0,탱커,1,1.0,1.0
1,0,0,0,0,저가,1,1.0,1.0
1,0,0,0,0,차후,1,1.0,1.0
1,0,0,0,0,비른,1,1.0,1.0
0,0,0,0,1,인대,1,1.0,1.0
0,0,1,0,0,이익단체,1,1.0,1.0
0,0,0,0,1,소방본부,1,1.0,1.0
0,0,1,0,0,소아마비,1,1.0,1.0
0,0,0,0,1,헛되이,1,1.0,1.0
0,0,0,0,1,잠정,1,1.0,1.0
0,0,0,1,0,해남,1,1.0,1.0
0,0,1,0,0,천사,1,1.0,1.0
0,0,0,1,0,정무수석,1,1.0,1.0
0,0,1,0,0,수액,1,1.0,1.0
0,0,1,0,0,자연도태,1,1.0,1.0
0,1,0,0,0,노하우,1,1.0,1.0
0,1,0,0,0,공함,1,1.0,1.0
0,0,0,0,1,문책,1,1.0,1.0
0,0,0,1,0,커서,1,1.0,1.0
0,1,0,0,0,남구,1,1.0,1.0
0,0,0,1,0,집행유예,1,1.0,1.0
1,0,0,0,0,세포독성,1,1.0,1.0
0,1,0,0,0,그리스,1,1.0,1.0
1,0,0,0,0,달후,1,1.0,1.0
0,1,0,0,0,교인,1,1.0,1.0
0,0,0,0,1,예우,1,1.0,1.0
0,0,1,0,0,고식,1,1.0,1.0
0,0,1,0,0,순리,1,1.0,1.0
0,0,0,0,1,사망원인,1,1.0,1.0
0,0,0,0,1,인과관계,1,1.0,1.0
0,1,0,0,0,절절,1,1.0,1.0
0,0,0,1,0,반석,1,1.0,1.0
0,0,0,0,1,압록강,1,1.0,1.0
0,0,0,1,0,전남자친구,1,1.0,1.0
0,0,0,1,0,탄식,1,1.0,1.0
0,1,0,0,0,굴,1,1.0,1.0
0,1,0,0,0,북구,1,1.0,1.0
0,1,0,0,0,다섯,1,1.0,1.0
1,0,0,0,0,사견,1,1.0,1.0
0,1,0,0,0,발자국,1,1.0,1.0
0,1,0,0,0,채권,1,1.0,1.0
0,0,0,0,1,다각,1,1.0,1.0
0,0,1,0,0,개월때,1,1.0,1.0
0,0,0,1,0,제각각,1,1.0,1.0
1,0,0,0,0,제적,1,1.0,1.0
1,0,0,0,0,대학교수,1,1.0,1.0
0,0,0,0,1,실전,1,1.0,1.0
0,1,0,0,0,이르렀으,1,1.0,1.0
0,0,0,0,1,유역,1,1.0,1.0
0,1,0,0,0,감실,1,1.0,1.0
0,1,0,0,0,통영,1,1.0,1.0
0,0,0,0,1,긴장감,1,1.0,1.0
0,0,0,0,1,설정,1,1.0,1.0
0,1,0,0,0,빛고을,1,1.0,1.0
1,0,0,0,0,제도로,1,1.0,1.0
0,0,0,0,1,호석,1,1.0,1.0
0,0,1,0,0,축농증,1,1.0,1.0
0,1,0,0,0,일터,1,1.0,1.0
0,0,1,0,0,치킨게임,1,1.0,1.0
1,0,0,0,0,도시락,1,1.0,1.0
0,0,0,1,0,퇴장,1,1.0,1.0
0,0,0,0,1,화재진압복,1,1.0,1.0
1,0,0,0,0,보름,1,1.0,1.0
0,0,0,1,0,하수,1,1.0,1.0
0,1,0,0,0,활,1,1.0,1.0
0,0,0,0,1,북미,1,1.0,1.0
0,0,1,0,0,막무가내,1,1.0,1.0
1,0,0,0,0,개차반,1,1.0,1.0
0,1,0,0,0,파고,1,1.0,1.0
0,1,0,0,0,편견,1,1.0,1.0
0,0,0,1,0,선후배,1,1.0,1.0
0,0,1,0,0,디,1,1.0,1.0
0,0,0,0,1,통일한국,1,1.0,1.0
0,0,0,1,0,컷오프,1,1.0,1.0
0,0,0,0,1,키로,1,1.0,1.0
0,1,0,0,0,상주,1,1.0,1.0
0,0,1,0,0,막강,1,1.0,1.0
0,0,0,1,0,내부고발자,1,1.0,1.0
0,0,0,0,1,그땐,1,1.0,1.0
1,0,0,0,0,전적,1,1.0,1.0
0,0,0,0,1,제주시,1,1.0,1.0
0,0,1,0,0,꼭좀,1,1.0,1.0
0,0,0,1,0,가기,1,1.0,1.0
0,0,1,0,0,필름,1,1.0,1.0
0,1,0,0,0,악순환,1,1.0,1.0
0,0,0,1,0,검찰청,1,1.0,1.0
0,0,0,1,0,장악,1,1.0,1.0
0,1,0,0,0,장덕,1,1.0,1.0
0,1,0,0,0,잔칫상,1,1.0,1.0
0,1,0,0,0,교통신호,1,1.0,1.0
0,0,1,0,0,금요일,1,1.0,1.0
0,0,1,0,0,이나고,1,1.0,1.0
0,0,0,1,0,세비,1,1.0,1.0
0,1,0,0,0,돌다리,1,1.0,1.0
0,0,0,1,0,축느러져,1,1.0,1.0
0,0,0,1,0,동물병원,1,1.0,1.0
0,1,0,0,0,급감,1,1.0,1.0
0,1,0,0,0,약육강식,1,1.0,1.0
0,0,1,0,0,잠복,1,1.0,1.0
0,0,0,1,0,결격,1,1.0,1.0
0,1,0,0,0,선등,1,1.0,1.0
0,1,0,0,0,나주,1,1.0,1.0
0,0,0,1,0,대본,1,1.0,1.0
0,0,0,1,0,정세균,1,1.0,1.0
0,0,0,1,0,안양시청,1,1.0,1.0
0,0,1,0,0,일상생활,1,1.0,1.0
0,0,0,1,0,낼때,1,1.0,1.0
0,0,0,0,1,체력,1,1.0,1.0
1,0,0,0,0,콜로,1,1.0,1.0
0,0,1,0,0,예방접종,1,1.0,1.0
1,0,0,0,0,자금난,1,1.0,1.0
0,1,0,0,0,회복기,1,1.0,1.0
0,0,0,1,0,불기소처분,1,1.0,1.0
0,1,0,0,0,신입생,1,1.0,1.0
0,0,0,0,1,등쪽,1,1.0,1.0
0,0,0,0,1,발길,1,1.0,1.0
0,0,0,1,0,천만이,1,1.0,1.0
0,0,0,1,0,시력,1,1.0,1.0
1,0,0,0,0,환불,1,1.0,1.0
0,0,0,0,1,부권,1,1.0,1.0
0,1,0,0,0,광산구,1,1.0,1.0
0,0,1,0,0,과대,1,1.0,1.0
1,0,0,0,0,노가다,1,1.0,1.0
0,1,0,0,0,놀음,1,1.0,1.0
1,0,0,0,0,비현실적,1,1.0,1.0
0,0,0,1,0,대요,1,1.0,1.0
1,0,0,0,0,사무소,1,1.0,1.0
0,1,0,0,0,타당,1,1.0,1.0
0,0,0,0,1,딸아이,1,1.0,1.0
0,0,0,0,1,토로,1,1.0,1.0
0,0,0,1,0,헤어,1,1.0,1.0
0,0,0,1,0,본연,1,1.0,1.0
0,1,0,0,0,푹,1,1.0,1.0
0,0,1,0,0,폐악,1,1.0,1.0
1,0,0,0,0,재발,1,1.0,1.0
0,0,1,0,0,이의신청,1,1.0,1.0
1,0,0,0,0,이병일,1,1.0,1.0
1,0,0,0,0,일쑤,1,1.0,1.0
0,1,0,0,0,납부,1,1.0,1.0
0,0,1,0,0,생사,1,1.0,1.0
0,1,0,0,0,간편,1,1.0,1.0
1,0,0,0,0,제약회사,1,1.0,1.0
0,0,0,0,1,긴장,1,1.0,1.0
0,1,0,0,0,극,1,1.0,1.0
0,1,0,0,0,피폐,1,1.0,1.0
1,0,0,0,0,악질,1,1.0,1.0
0,0,0,1,0,박근혜정부,1,1.0,1.0
