16,30,35,36,51,61,62,64,76,keyword,alls,binary,value
2,0,0,0,0,0,0,0,0,여로,2,1.0,2.0
0,0,0,0,0,0,0,0,2,감시,2,1.0,2.0
0,0,0,2,0,0,0,0,0,비열,2,1.0,2.0
2,0,0,0,0,0,0,0,0,경사,2,1.0,2.0
0,0,2,0,0,0,0,0,0,운반,2,1.0,2.0
0,0,0,0,0,0,0,0,2,예수교,2,1.0,2.0
0,0,2,0,0,0,0,0,0,보탬,2,1.0,2.0
0,0,0,0,0,0,0,0,2,은혜,2,1.0,2.0
0,0,0,2,0,0,0,0,0,목동,2,1.0,2.0
0,0,0,2,0,0,0,0,0,뇌전증,2,1.0,2.0
2,0,0,0,0,0,0,0,0,경장,2,1.0,2.0
2,0,0,0,0,0,0,0,0,케,2,1.0,2.0
0,0,2,0,0,0,0,0,0,패악,2,1.0,2.0
0,0,0,0,0,0,2,0,0,백업,2,1.0,2.0
0,0,0,0,0,0,0,2,0,관련성,2,1.0,2.0
0,0,0,0,0,0,0,2,0,저녁식사,2,1.0,2.0
0,0,0,0,0,2,0,0,0,누리,2,1.0,2.0
0,0,0,0,0,2,0,0,0,특권,2,1.0,2.0
2,0,0,0,0,0,0,0,0,발송,2,1.0,2.0
0,0,0,0,0,2,0,0,0,본부장,2,1.0,2.0
0,0,0,0,2,0,0,0,0,후원,2,1.0,2.0
2,0,0,0,0,0,0,0,0,재주,2,1.0,2.0
0,0,0,0,0,0,2,0,0,갤러리,2,1.0,2.0
0,0,0,0,0,0,0,2,0,산둥성,2,1.0,2.0
0,0,0,0,0,2,0,0,0,국회의장,2,1.0,2.0
0,0,0,0,0,0,0,0,2,휴대,2,1.0,2.0
0,0,0,0,0,0,0,2,0,투성이,2,1.0,2.0
0,0,2,0,0,0,0,0,0,구조조정,2,1.0,2.0
0,0,0,0,0,0,2,0,0,놀이기구,2,1.0,2.0
0,0,0,2,0,0,0,0,0,기각,2,1.0,2.0
2,0,0,0,0,0,0,0,0,용달,2,1.0,2.0
0,0,0,0,0,0,0,1,0,소방본부,1,1.0,1.0
0,0,1,0,0,0,0,0,0,실리,1,1.0,1.0
0,0,0,0,0,0,0,1,0,헛되이,1,1.0,1.0
0,0,1,0,0,0,0,0,0,학부,1,1.0,1.0
0,0,0,0,1,0,0,0,0,부상,1,1.0,1.0
0,0,0,0,0,1,0,0,0,해남,1,1.0,1.0
0,0,1,0,0,0,0,0,0,통곡,1,1.0,1.0
0,0,1,0,0,0,0,0,0,가난,1,1.0,1.0
0,0,0,0,0,0,0,0,1,나야,1,1.0,1.0
0,0,0,0,1,0,0,0,0,전해,1,1.0,1.0
0,0,1,0,0,0,0,0,0,오늘날,1,1.0,1.0
0,0,0,1,0,0,0,0,0,향유,1,1.0,1.0
1,0,0,0,0,0,0,0,0,저가,1,1.0,1.0
1,0,0,0,0,0,0,0,0,차후,1,1.0,1.0
1,0,0,0,0,0,0,0,0,비른,1,1.0,1.0
0,0,1,0,0,0,0,0,0,탱커,1,1.0,1.0
0,0,0,0,0,0,0,1,0,인대,1,1.0,1.0
0,0,0,1,0,0,0,0,0,이익단체,1,1.0,1.0
0,0,0,0,0,0,0,1,0,예우,1,1.0,1.0
0,0,0,1,0,0,0,0,0,소아마비,1,1.0,1.0
0,0,1,0,0,0,0,0,0,남구,1,1.0,1.0
0,0,1,0,0,0,0,0,0,노하우,1,1.0,1.0
0,0,1,0,0,0,0,0,0,교인,1,1.0,1.0
0,0,0,0,0,0,0,1,0,잠정,1,1.0,1.0
0,0,0,0,0,1,0,0,0,제각각,1,1.0,1.0
0,0,0,0,0,0,0,1,0,화재진압복,1,1.0,1.0
0,0,0,0,0,0,1,0,0,범행,1,1.0,1.0
0,0,0,0,0,1,0,0,0,정무수석,1,1.0,1.0
0,0,0,1,0,0,0,0,0,수액,1,1.0,1.0
0,0,0,1,0,0,0,0,0,자연도태,1,1.0,1.0
0,0,0,1,0,0,0,0,0,고식,1,1.0,1.0
0,0,1,0,0,0,0,0,0,공함,1,1.0,1.0
0,0,0,0,0,0,0,0,1,신지,1,1.0,1.0
0,0,0,0,0,0,1,0,0,누드모델,1,1.0,1.0
1,0,0,0,0,0,0,0,0,달후,1,1.0,1.0
0,0,0,1,0,0,0,0,0,천사,1,1.0,1.0
0,0,0,0,0,1,0,0,0,커서,1,1.0,1.0
0,0,0,0,1,0,0,0,0,극우,1,1.0,1.0
0,0,0,0,0,1,0,0,0,집행유예,1,1.0,1.0
0,0,0,0,0,0,1,0,0,누운채,1,1.0,1.0
1,0,0,0,0,0,0,0,0,세포독성,1,1.0,1.0
0,0,0,0,0,0,1,0,0,오해해,1,1.0,1.0
0,0,0,0,0,0,0,0,1,요일,1,1.0,1.0
0,0,1,0,0,0,0,0,0,그리스,1,1.0,1.0
0,0,0,0,1,0,0,0,0,마음속,1,1.0,1.0
0,0,1,0,0,0,0,0,0,빛고을,1,1.0,1.0
0,0,0,0,0,0,0,1,0,문책,1,1.0,1.0
0,0,0,0,0,0,0,1,0,압록강,1,1.0,1.0
0,0,0,0,0,0,0,1,0,유역,1,1.0,1.0
0,0,1,0,0,0,0,0,0,이르렀으,1,1.0,1.0
0,0,0,0,0,0,0,1,0,실전,1,1.0,1.0
1,0,0,0,0,0,0,0,0,대학교수,1,1.0,1.0
0,0,0,0,1,0,0,0,0,이념,1,1.0,1.0
0,0,0,0,0,0,0,0,1,천년왕국,1,1.0,1.0
1,0,0,0,0,0,0,0,0,제적,1,1.0,1.0
0,0,1,0,0,0,0,0,0,절절,1,1.0,1.0
0,0,0,0,0,1,0,0,0,반석,1,1.0,1.0
0,0,0,0,0,1,0,0,0,전남자친구,1,1.0,1.0
0,0,1,0,0,0,0,0,0,감실,1,1.0,1.0
0,0,0,0,0,1,0,0,0,탄식,1,1.0,1.0
0,0,0,0,1,0,0,0,0,부화,1,1.0,1.0
0,0,1,0,0,0,0,0,0,굴,1,1.0,1.0
0,0,0,0,0,0,0,1,0,인과관계,1,1.0,1.0
0,0,1,0,0,0,0,0,0,북구,1,1.0,1.0
1,0,0,0,0,0,0,0,0,사견,1,1.0,1.0
0,0,1,0,0,0,0,0,0,발자국,1,1.0,1.0
0,0,0,0,0,0,1,0,0,스티븐,1,1.0,1.0
0,0,0,0,0,1,0,0,0,하수,1,1.0,1.0
0,0,0,0,1,0,0,0,0,자유시장경제,1,1.0,1.0
0,0,0,0,0,0,0,0,1,조특법,1,1.0,1.0
0,0,0,0,0,0,0,1,0,사망원인,1,1.0,1.0
0,0,0,0,0,0,1,0,0,노골,1,1.0,1.0
0,0,1,0,0,0,0,0,0,다섯,1,1.0,1.0
0,0,0,0,1,0,0,0,0,메아리,1,1.0,1.0
0,0,0,0,0,1,0,0,0,퇴장,1,1.0,1.0
1,0,0,0,0,0,0,0,0,도시락,1,1.0,1.0
0,0,0,0,1,0,0,0,0,공연,1,1.0,1.0
0,0,0,1,0,0,0,0,0,치킨게임,1,1.0,1.0
0,0,0,0,1,0,0,0,0,무법천지,1,1.0,1.0
0,0,1,0,0,0,0,0,0,일터,1,1.0,1.0
0,0,0,0,0,0,1,0,0,놀러와,1,1.0,1.0
0,0,0,1,0,0,0,0,0,축농증,1,1.0,1.0
0,0,0,0,1,0,0,0,0,교환학생,1,1.0,1.0
0,0,0,0,0,0,0,1,0,호석,1,1.0,1.0
1,0,0,0,0,0,0,0,0,제도로,1,1.0,1.0
0,0,0,0,1,0,0,0,0,웁니,1,1.0,1.0
0,0,0,1,0,0,0,0,0,순리,1,1.0,1.0
0,0,0,0,0,0,0,1,0,설정,1,1.0,1.0
0,0,0,0,0,0,0,1,0,긴장감,1,1.0,1.0
0,0,0,0,1,0,0,0,0,언사,1,1.0,1.0
0,0,0,0,1,0,0,0,0,어린시절,1,1.0,1.0
0,0,1,0,0,0,0,0,0,통영,1,1.0,1.0
0,0,0,0,0,0,1,0,0,상물,1,1.0,1.0
1,0,0,0,0,0,0,0,0,보름,1,1.0,1.0
0,0,0,1,0,0,0,0,0,잠복,1,1.0,1.0
0,0,1,0,0,0,0,0,0,활,1,1.0,1.0
0,0,0,0,0,0,0,0,1,소득공제,1,1.0,1.0
0,0,0,1,0,0,0,0,0,막무가내,1,1.0,1.0
1,0,0,0,0,0,0,0,0,개차반,1,1.0,1.0
0,0,1,0,0,0,0,0,0,파고,1,1.0,1.0
0,0,0,0,0,0,0,0,1,특례,1,1.0,1.0
0,0,1,0,0,0,0,0,0,채권,1,1.0,1.0
0,0,0,0,0,0,0,0,1,교류,1,1.0,1.0
0,0,0,0,0,0,0,0,1,주안,1,1.0,1.0
0,0,0,0,0,1,0,0,0,선후배,1,1.0,1.0
0,0,0,1,0,0,0,0,0,디,1,1.0,1.0
1,0,0,0,0,0,0,0,0,전적,1,1.0,1.0
0,0,0,0,0,1,0,0,0,컷오프,1,1.0,1.0
0,0,0,0,0,0,0,0,1,금보,1,1.0,1.0
0,0,0,0,1,0,0,0,0,참가자,1,1.0,1.0
0,0,0,0,0,0,0,1,0,키로,1,1.0,1.0
0,0,1,0,0,0,0,0,0,상주,1,1.0,1.0
0,0,0,1,0,0,0,0,0,막강,1,1.0,1.0
0,0,0,0,0,1,0,0,0,내부고발자,1,1.0,1.0
0,0,0,0,0,0,0,1,0,그땐,1,1.0,1.0
0,0,1,0,0,0,0,0,0,급감,1,1.0,1.0
0,0,0,0,0,0,0,1,0,북미,1,1.0,1.0
0,0,0,0,0,0,0,1,0,제주시,1,1.0,1.0
0,0,1,0,0,0,0,0,0,약육강식,1,1.0,1.0
0,0,0,0,1,0,0,0,0,위대,1,1.0,1.0
0,0,0,0,0,1,0,0,0,동물병원,1,1.0,1.0
0,0,0,0,0,0,1,0,0,보관,1,1.0,1.0
0,0,0,0,0,1,0,0,0,축느러져,1,1.0,1.0
0,0,1,0,0,0,0,0,0,돌다리,1,1.0,1.0
0,0,0,0,0,0,1,0,0,히켄드로이츠,1,1.0,1.0
0,0,0,0,0,1,0,0,0,세비,1,1.0,1.0
0,0,0,1,0,0,0,0,0,이나고,1,1.0,1.0
0,0,0,1,0,0,0,0,0,금요일,1,1.0,1.0
0,0,1,0,0,0,0,0,0,교통신호,1,1.0,1.0
0,0,1,0,0,0,0,0,0,잔칫상,1,1.0,1.0
0,0,0,1,0,0,0,0,0,꼭좀,1,1.0,1.0
0,0,1,0,0,0,0,0,0,장덕,1,1.0,1.0
0,0,0,0,0,1,0,0,0,장악,1,1.0,1.0
0,0,0,0,0,1,0,0,0,검찰청,1,1.0,1.0
0,0,1,0,0,0,0,0,0,악순환,1,1.0,1.0
0,0,0,0,0,0,0,0,1,공휴일,1,1.0,1.0
0,0,0,1,0,0,0,0,0,필름,1,1.0,1.0
0,0,0,0,0,1,0,0,0,가기,1,1.0,1.0
0,0,0,0,1,0,0,0,0,반성은,1,1.0,1.0
0,0,0,0,0,0,1,0,0,우린,1,1.0,1.0
0,0,0,0,0,0,0,1,0,통일한국,1,1.0,1.0
0,0,0,0,0,0,0,1,0,체력,1,1.0,1.0
0,0,1,0,0,0,0,0,0,신입생,1,1.0,1.0
0,0,0,1,0,0,0,0,0,일상생활,1,1.0,1.0
0,0,0,0,0,0,1,0,0,모자이크,1,1.0,1.0
0,0,0,0,0,0,0,1,0,등쪽,1,1.0,1.0
0,0,1,0,0,0,0,0,0,선등,1,1.0,1.0
0,0,1,0,0,0,0,0,0,나주,1,1.0,1.0
0,0,0,0,1,0,0,0,0,동자,1,1.0,1.0
0,0,0,0,0,1,0,0,0,대본,1,1.0,1.0
0,0,0,0,0,1,0,0,0,정세균,1,1.0,1.0
0,0,0,0,0,1,0,0,0,안양시청,1,1.0,1.0
0,0,0,0,0,0,1,0,0,리벤지,1,1.0,1.0
0,0,0,0,0,0,0,0,1,인천공항,1,1.0,1.0
0,0,0,0,0,1,0,0,0,천만이,1,1.0,1.0
0,0,0,0,1,0,0,0,0,허물,1,1.0,1.0
0,0,0,0,0,1,0,0,0,결격,1,1.0,1.0
0,0,0,0,0,1,0,0,0,낼때,1,1.0,1.0
1,0,0,0,0,0,0,0,0,콜로,1,1.0,1.0
0,0,0,1,0,0,0,0,0,예방접종,1,1.0,1.0
0,0,0,0,0,0,0,0,1,풀,1,1.0,1.0
1,0,0,0,0,0,0,0,0,자금난,1,1.0,1.0
0,0,1,0,0,0,0,0,0,회복기,1,1.0,1.0
0,0,0,0,0,1,0,0,0,불기소처분,1,1.0,1.0
0,0,0,0,0,0,0,1,0,발길,1,1.0,1.0
0,0,0,0,0,1,0,0,0,시력,1,1.0,1.0
0,0,0,0,0,0,0,0,1,감금,1,1.0,1.0
0,0,0,0,0,0,0,0,1,날개,1,1.0,1.0
0,0,0,0,0,1,0,0,0,헤어,1,1.0,1.0
0,0,0,0,1,0,0,0,0,다음주,1,1.0,1.0
0,0,0,0,0,0,0,1,0,토로,1,1.0,1.0
0,0,0,0,0,0,0,1,0,딸아이,1,1.0,1.0
0,0,1,0,0,0,0,0,0,타당,1,1.0,1.0
1,0,0,0,0,0,0,0,0,사무소,1,1.0,1.0
0,1,0,0,0,0,0,0,0,빗썸,1,1.0,1.0
0,0,0,0,0,1,0,0,0,대요,1,1.0,1.0
0,0,0,0,0,0,1,0,0,리듬,1,1.0,1.0
1,0,0,0,0,0,0,0,0,비현실적,1,1.0,1.0
1,0,0,0,0,0,0,0,0,환불,1,1.0,1.0
0,0,0,0,1,0,0,0,0,수호,1,1.0,1.0
0,0,0,0,0,0,0,0,1,콜센터,1,1.0,1.0
0,0,1,0,0,0,0,0,0,놀음,1,1.0,1.0
1,0,0,0,0,0,0,0,0,노가다,1,1.0,1.0
0,0,0,1,0,0,0,0,0,과대,1,1.0,1.0
0,0,0,0,0,0,1,0,0,스탭분,1,1.0,1.0
0,0,0,0,0,0,1,0,0,경,1,1.0,1.0
0,0,1,0,0,0,0,0,0,광산구,1,1.0,1.0
0,0,0,0,0,0,0,1,0,부권,1,1.0,1.0
0,0,0,0,0,0,1,0,0,황상,1,1.0,1.0
0,0,1,0,0,0,0,0,0,푹,1,1.0,1.0
0,0,0,0,0,0,1,0,0,스타,1,1.0,1.0
0,0,1,0,0,0,0,0,0,간편,1,1.0,1.0
0,0,1,0,0,0,0,0,0,크시,1,1.0,1.0
0,0,0,0,0,0,0,1,0,뼛조각,1,1.0,1.0
0,0,0,1,0,0,0,0,0,팔다리,1,1.0,1.0
0,0,0,1,0,0,0,0,0,이의신청,1,1.0,1.0
1,0,0,0,0,0,0,0,0,이병일,1,1.0,1.0
1,0,0,0,0,0,0,0,0,일쑤,1,1.0,1.0
0,0,1,0,0,0,0,0,0,납부,1,1.0,1.0
0,0,0,0,1,0,0,0,0,녹화,1,1.0,1.0
0,0,0,1,0,0,0,0,0,생사,1,1.0,1.0
0,0,0,0,0,0,1,0,0,무능,1,1.0,1.0
0,0,0,0,0,0,0,0,1,품,1,1.0,1.0
1,0,0,0,0,0,0,0,0,재발,1,1.0,1.0
1,0,0,0,0,0,0,0,0,제약회사,1,1.0,1.0
0,0,0,0,1,0,0,0,0,합창,1,1.0,1.0
0,0,0,0,0,0,0,0,1,남태평양,1,1.0,1.0
0,0,1,0,0,0,0,0,0,극,1,1.0,1.0
0,0,0,0,0,0,0,0,1,강선,1,1.0,1.0
0,0,1,0,0,0,0,0,0,피폐,1,1.0,1.0
1,0,0,0,0,0,0,0,0,악질,1,1.0,1.0
0,0,0,0,0,1,0,0,0,박근혜정부,1,1.0,1.0
0,0,1,0,0,0,0,0,0,위시,1,1.0,1.0
0,0,0,0,0,1,0,0,0,획일,1,1.0,1.0
0,0,0,0,1,0,0,0,0,친박,1,1.0,1.0
0,0,0,1,0,0,0,0,0,아성,1,1.0,1.0
0,0,0,0,0,0,1,0,0,사겅,1,1.0,1.0
1,0,0,0,0,0,0,0,0,전재희,1,1.0,1.0
0,0,1,0,0,0,0,0,0,풍문,1,1.0,1.0
0,0,0,0,1,0,0,0,0,친밀도,1,1.0,1.0
0,0,0,0,0,0,0,1,0,앞뒤,1,1.0,1.0
0,0,0,1,0,0,0,0,0,레이,1,1.0,1.0
1,0,0,0,0,0,0,0,0,환수,1,1.0,1.0
0,0,1,0,0,0,0,0,0,유명,1,1.0,1.0
0,0,1,0,0,0,0,0,0,슨,1,1.0,1.0
0,0,1,0,0,0,0,0,0,한참,1,1.0,1.0
0,0,0,0,1,0,0,0,0,개헌안,1,1.0,1.0
0,0,0,0,0,0,0,1,0,시나리오,1,1.0,1.0
0,0,0,0,0,1,0,0,0,출마,1,1.0,1.0
0,0,0,0,1,0,0,0,0,아이콘,1,1.0,1.0
0,0,0,0,0,0,0,1,0,황도,1,1.0,1.0
0,0,0,0,0,1,0,0,0,종말,1,1.0,1.0
0,0,0,1,0,0,0,0,0,티피,1,1.0,1.0
0,0,0,0,0,0,1,0,0,용공,1,1.0,1.0
0,0,1,0,0,0,0,0,0,대승,1,1.0,1.0
0,0,0,0,0,0,0,0,1,경춘선,1,1.0,1.0
0,0,1,0,0,0,0,0,0,배짱,1,1.0,1.0
0,0,0,0,0,0,0,1,0,내세,1,1.0,1.0
0,0,0,0,0,0,0,1,0,다각,1,1.0,1.0
0,0,0,0,0,0,1,0,0,불쾌감,1,1.0,1.0
0,0,0,0,0,0,1,0,0,이세,1,1.0,1.0
0,0,1,0,0,0,0,0,0,성동,1,1.0,1.0
1,0,0,0,0,0,0,0,0,현찰,1,1.0,1.0
0,0,1,0,0,0,0,0,0,중대,1,1.0,1.0
1,0,0,0,0,0,0,0,0,호스피스,1,1.0,1.0
0,0,0,1,0,0,0,0,0,경직,1,1.0,1.0
0,0,0,0,1,0,0,0,0,과오,1,1.0,1.0
0,0,0,1,0,0,0,0,0,원점,1,1.0,1.0
0,0,0,0,0,0,1,0,0,탈의,1,1.0,1.0
0,0,1,0,0,0,0,0,0,보람,1,1.0,1.0
0,0,0,0,0,0,0,1,0,남북관계,1,1.0,1.0
0,0,0,1,0,0,0,0,0,도태,1,1.0,1.0
1,0,0,0,0,0,0,0,0,지견,1,1.0,1.0
0,0,0,0,0,1,0,0,0,고수,1,1.0,1.0
1,0,0,0,0,0,0,0,0,면직,1,1.0,1.0
0,0,0,0,0,1,0,0,0,꼬박,1,1.0,1.0
0,0,0,0,0,0,1,0,0,중후,1,1.0,1.0
0,0,0,0,1,0,0,0,0,시골,1,1.0,1.0
0,0,0,0,0,1,0,0,0,단점,1,1.0,1.0
0,0,1,0,0,0,0,0,0,전교조,1,1.0,1.0
0,0,0,0,1,0,0,0,0,숙제,1,1.0,1.0
0,0,0,0,0,0,0,1,0,폭주,1,1.0,1.0
0,0,0,0,1,0,0,0,0,무법자,1,1.0,1.0
0,0,0,0,0,0,1,0,0,유명인사,1,1.0,1.0
1,0,0,0,0,0,0,0,0,최신,1,1.0,1.0
0,0,0,0,0,0,0,1,0,긴장,1,1.0,1.0
0,0,1,0,0,0,0,0,0,민초,1,1.0,1.0
1,0,0,0,0,0,0,0,0,구한,1,1.0,1.0
1,0,0,0,0,0,0,0,0,타박,1,1.0,1.0
0,0,0,0,0,1,0,0,0,면치,1,1.0,1.0
0,0,1,0,0,0,0,0,0,과시,1,1.0,1.0
1,0,0,0,0,0,0,0,0,프로토콜,1,1.0,1.0
0,0,1,0,0,0,0,0,0,교육법,1,1.0,1.0
0,0,1,0,0,0,0,0,0,어깨,1,1.0,1.0
0,0,1,0,0,0,0,0,0,협상,1,1.0,1.0
1,0,0,0,0,0,0,0,0,모른체,1,1.0,1.0
0,0,1,0,0,0,0,0,0,강국,1,1.0,1.0
0,0,0,0,1,0,0,0,0,선거날,1,1.0,1.0
0,0,0,1,0,0,0,0,0,정파,1,1.0,1.0
0,0,0,0,0,1,0,0,0,뇌물수수,1,1.0,1.0
0,0,1,0,0,0,0,0,0,민낯,1,1.0,1.0
0,0,0,0,0,0,0,1,0,하늘나라,1,1.0,1.0
1,0,0,0,0,0,0,0,0,한수,1,1.0,1.0
0,0,0,0,0,0,0,1,0,집결,1,1.0,1.0
0,0,0,0,0,0,0,1,0,진위,1,1.0,1.0
0,0,0,0,1,0,0,0,0,폭도,1,1.0,1.0
0,0,1,0,0,0,0,0,0,견적,1,1.0,1.0
0,0,0,1,0,0,0,0,0,릴,1,1.0,1.0
0,0,1,0,0,0,0,0,0,폐허,1,1.0,1.0
0,0,0,0,0,1,0,0,0,산남,1,1.0,1.0
0,0,0,0,0,0,0,1,0,숨,1,1.0,1.0
0,0,0,0,0,0,1,0,0,눈살,1,1.0,1.0
0,0,0,0,0,1,0,0,0,자숙,1,1.0,1.0
0,0,0,0,0,0,0,1,0,접합,1,1.0,1.0
0,0,0,0,0,1,0,0,0,모조리,1,1.0,1.0
1,0,0,0,0,0,0,0,0,희귀암,1,1.0,1.0
